Date,MALJF,HNSDF,RLLCF,HEI,BAESF,EADSY,SGGKF,GD,FTAIN,HII,LHX,HON,DRS,ATRO,TXT,THLLY,ESLT,HAGHY,LDOS,NOC,TDG,RTX,LMT,THLEF,SGGKY,BAESY,ERJ,QNTQY,RYCEY,RNMBF,KBGGY,BDRBF,FINMF,RNMBY,SAABY,FINMY,MHVIY,RYCEF,KWHIY,SAABF,FTAIM
2024-09-24 00:00:00-04:00,7.019999980926514,31.790000915527344,0.004000000189989805,265.4568176269531,17.037927627563477,37.619998931884766,2.950000047683716,301.6070556640625,25.538904190063477,253.59786987304688,233.6375732421875,203.1770477294922,27.15999984741211,20.1200008392334,86.65862274169922,33.08000183105469,193.73866271972656,15.800000190734863,158.0361785888672,525.2767944335938,1345.8043212890625,118.80280303955078,570.809814453125,161.47000122070312,34.5099983215332,67.0929183959961,36.619998931884766,24.07912254333496,7.070000171661377,539.6500244140625,49.682106018066406,72.36000061035156,24.149999618530273,108.44000244140625,10.352892875671387,11.569999694824219,27.51180648803711,7.039999961853027,15.399999618530273,20.23569679260254,25.671154022216797
2024-09-25 00:00:00-04:00,7.039999961853027,31.790000915527344,0.004000000189989805,262.608154296875,16.740753173828125,37.02000045776367,2.950000047683716,298.6570129394531,25.58792495727539,253.30218505859375,232.2242431640625,204.67164611816406,27.520000457763672,19.889999389648438,85.46891021728516,32.96500015258789,193.638916015625,15.800000190734863,157.5873565673828,523.5419921875,1348.9866943359375,119.65393829345703,570.129150390625,161.47000122070312,34.5099983215332,67.21175384521484,36.529998779296875,24.07912254333496,7.119999885559082,540.0,49.682106018066406,72.05999755859375,22.760000228881836,109.20999908447266,10.681714057922363,11.579999923706055,28.148609161376953,7.119999885559082,15.720000267028809,20.23569679260254,25.651578903198242
2024-09-26 00:00:00-04:00,7.039999961853027,31.790000915527344,0.0038999998942017555,261.13885498046875,16.651601791381836,37.599998474121094,2.950000047683716,297.46905517578125,25.58792495727539,256.5938720703125,230.47250366210938,204.91908264160156,27.770000457763672,19.920000076293945,86.53865051269531,32.279998779296875,195.1054229736328,15.800000190734863,158.0162353515625,519.7748413085938,1327.173828125,119.07991790771484,569.5964965820312,161.35000610351562,34.5099983215332,65.98377990722656,36.93000030517578,23.890460968017578,7.090000152587891,538.0,49.682106018066406,74.22000122070312,23.540000915527344,108.58999633789062,10.711606979370117,11.420000076293945,29.282909393310547,7.099999904632568,16.059999465942383,20.23569679260254,25.57817840576172
2024-09-27 00:00:00-04:00,6.800000190734863,31.790000915527344,0.0038999998942017555,259.1997375488281,16.839811325073242,37.22999954223633,2.950000047683716,297.1127014160156,25.318321228027344,259.2646789550781,233.8863983154297,205.5129852294922,27.8700008392334,20.049999237060547,87.72835540771484,32.13999938964844,194.5666961669922,15.800000190734863,159.30287170410156,522.2333984375,1328.7366943359375,119.1491928100586,574.4893798828125,161.0,34.5099983215332,65.67678833007812,35.720001220703125,23.83088493347168,7.03000020980835,527.75,49.682106018066406,74.2699966430664,23.540000915527344,107.54000091552734,10.592035293579102,11.270000457763672,29.049083709716797,7.050000190734863,15.9399995803833,20.23569679260254,25.592857360839844
2024-09-30 00:00:00-04:00,6.800000190734863,31.790000915527344,0.0038999998942017555,261.3587341308594,16.294994354248047,36.529998779296875,2.950000047683716,299.1618957519531,25.146753311157227,260.55572509765625,236.75286865234375,204.6023712158203,28.219999313354492,19.479999542236328,88.55815124511719,31.65999984741211,199.62466430664062,15.800000190734863,162.57431030273438,523.5023803710938,1351.705078125,119.91126251220703,576.6597290039062,161.0,35.04999923706055,65.70649719238281,35.369998931884766,23.83088493347168,7.059999942779541,545.0,49.682106018066406,76.04000091552734,23.540000915527344,108.16999816894531,10.522285461425781,11.069999694824219,29.760000228881836,7.050000190734863,16.15999984741211,20.23569679260254,25.583070755004883
2024-10-01 00:00:00-04:00,6.800000190734863,34.70000076293945,0.0038999998942017555,262.1583557128906,16.859622955322266,35.7400016784668,2.950000047683716,302.2604064941406,25.234006881713867,260.82183837890625,244.1380157470703,203.96888732910156,29.700000762939453,19.559999465942383,87.42842864990234,32.400001525878906,201.81942749023438,15.800000190734863,164.5790557861328,539.1755981445312,1360.068359375,123.10797119140625,597.6717529296875,163.0,35.04999923706055,67.43952178955078,34.849998474121094,23.83088493347168,6.96999979019165,562.260009765625,49.682106018066406,75.76000213623047,22.3799991607666,113.53199768066406,10.970678329467773,11.300000190734863,31.40999984741211,7.03000020980835,17.200000762939453,20.23569679260254,25.592857360839844
2024-10-02 00:00:00-04:00,6.929999828338623,34.70000076293945,0.0038999998942017555,265.5068054199219,17.11717414855957,35.11000061035156,2.950000047683716,300.8646240234375,25.34773063659668,257.7370910644531,243.510986328125,201.80120849609375,29.700000762939453,19.709999084472656,86.95854949951172,32.540000915527344,201.83938598632812,16.56999969482422,164.7685546875,534.2089233398438,1366.2911376953125,122.7615737915039,595.0477905273438,163.0,35.04999923706055,68.50904846191406,34.209999084472656,24.158559799194336,6.869999885559082,562.260009765625,49.682106018066406,75.4800033569336,23.770000457763672,114.0999984741211,11.040428161621094,11.630000114440918,31.59000015258789,6.909999847412109,17.670000076293945,20.23569679260254,25.757280349731445
2024-10-03 00:00:00-04:00,6.929999828338623,34.70000076293945,0.0038999998942017555,260.18927001953125,16.909151077270508,34.779998779296875,2.950000047683716,296.597900390625,25.391847610473633,253.7259979248047,241.96826171875,200.81141662597656,29.280000686645508,19.31999969482422,86.08876037597656,32.310001373291016,200.62228393554688,16.56999969482422,164.71868896484375,532.9301147460938,1344.0899658203125,122.3953857421875,597.63232421875,158.60000610351562,35.04999923706055,67.83564758300781,33.29999923706055,24.436586380004883,7.03000020980835,570.0,49.682106018066406,74.52999877929688,22.15999984741211,113.54499816894531,10.970678329467773,11.319999694824219,30.1299991607666,6.980000019073486,16.90999984741211,20.23569679260254,25.66038703918457
2024-10-04 00:00:00-04:00,6.909999847412109,34.70000076293945,0.004000000189989805,261.3187561035156,16.909151077270508,34.97999954223633,2.950000047683716,297.6373596191406,25.470277786254883,254.5636749267578,242.51568603515625,201.7022247314453,30.350000381469727,19.979999542236328,86.7186050415039,32.34000015258789,201.4602813720703,16.56999969482422,165.9554443359375,532.0973510742188,1355.4599609375,123.62261199951172,596.95166015625,158.60000610351562,35.04999923706055,67.9346694946289,33.93000030517578,23.9301815032959,7.059999942779541,570.0,49.682106018066406,76.94000244140625,22.40999984741211,114.37999725341797,10.950749397277832,11.529999732971191,30.700000762939453,6.980000019073486,17.3799991607666,21.749998092651367,25.778810501098633
2024-10-07 00:00:00-04:00,6.909999847412109,34.70000076293945,0.0038999998942017555,257.9703063964844,17.335100173950195,34.7400016784668,2.950000047683716,294.3012390136719,25.205575942993164,252.6714630126953,240.62460327148438,201.25682067871094,30.350000381469727,19.81999969482422,85.75884246826172,32.290000915527344,208.57334899902344,16.56999969482422,166.22474670410156,529.3512573242188,1356.550048828125,123.76116180419922,597.3561401367188,158.60000610351562,35.04999923706055,67.45933532714844,33.790000915527344,24.06919288635254,6.900000095367432,570.0,49.682106018066406,77.33999633789062,23.440000534057617,110.37999725341797,10.880999565124512,11.420000076293945,29.6200008392334,6.869999885559082,17.06999969482422,22.079999923706055,25.96476173400879
2024-10-08 00:00:00-04:00,6.960000038146973,34.70000076293945,0.003800000064074993,259.8794250488281,17.13698387145996,34.68000030517578,2.950000047683716,293.9151611328125,25.234987258911133,254.1793212890625,240.14686584472656,204.889404296875,30.649999618530273,19.950000762939453,84.96903228759766,32.88999938964844,209.32156372070312,16.145000457763672,166.18484497070312,528.042724609375,1375.6199951171875,122.22714233398438,599.8322143554688,158.60000610351562,37.66999816894531,67.28107452392578,33.59000015258789,24.06919288635254,6.980000019073486,550.8453979492188,49.682106018066406,79.0,23.790000915527344,110.55000305175781,10.829999923706055,11.479999542236328,29.81999969482422,6.909999847412109,17.469999313354492,22.079999923706055,25.710302352905273
